asn_name,avg_response_time_seconds,domains_hosted,count
AS6128 CABLE-NET-1,4225260,16105,36
AS17917 Quadrant Televentures Limited,422220,501,35
AS137131 Dnet E Solutions Pvt Ltd,23520,-1,35
AS204957 ITL-Bulgaria Ltd.,1152120,10849,35
AS20115 CHARTER-20115,5194320,28381,35
AS204601 Zomro B.V.,482700,95269,34
AS10796 TWC-10796-MIDWEST,2976660,23750,34
AS45090 Shenzhen Tencent Computer Systems Company Limited,1912620,297262,33
AS42397 Bunea TELECOM SRL,2874960,35,33
AS46562 TOTAL-SERVER-SOLUTIONS,1399680,54319,32
AS8452 TE-AS,4618020,3474,32
AS8708 RCS & RDS,1433340,18733,32
AS200651 Flokinet Ltd,714900,4276,32
AS36866 JTL,300240,170,32
AS137652 Tapee Infocom Private Limited,35400,-1,31
AS50550 K3 Telecom Sp. z o.o.,178620,23,31
AS204213 Netmihan Communication Company Ltd,4804380,64160,30
AS209696 NILSAT Ltd.,25920,123,30
AS64236 UNREAL-SERVERS,1290480,4318,30
AS133285 CNS Infotel Services Pvt. Ltd.,33480,4,30
AS39378 servinga GmbH,61800,624,29
AS207083 HostSlim B.V.,1358340,1926,29
AS198203 RouteLabel V.O.F.,918180,23032,29
AS44066 First Colo GmbH,395520,215937,29
AS269644 FORMOSA INTERNET E TELECOMUNICACOES LTDA,3660,-1,28
AS47583 Hostinger International Limited,1836120,963118,28
"AS58955 Bangmod Enterprise Co., Ltd.",3224940,10849,28
AS24282 KAGOYA JAPAN Inc.,322620,39913,28
AS9002 RETN Limited,798420,12770,28
AS35196 Ihor Hosting LLC,1853640,16896,27
AS43624 Pq Hosting S.r.l.,3360,73,27
AS213058 Private Internet Hosting LTD,1821960,2321,27
AS33837 Fredrik Holmqvist,1218480,242,27
AS30722 Vodafone Italia S.p.A.,4193880,12435,27
AS3352 Telefonica De Espana,2194020,53555,26
AS20001 TWC-20001-PACWEST,9959520,13318,26
AS38841 kbro CO. Ltd.,8890080,333,26
AS9534 Binariang Berhad,1018920,612,26
AS11556 Cable & Wireless Panama,1885800,651,26
AS49447 Nice IT Services Group Inc.,284280,460,26
AS3243 Servicos De Comunicacoes E Multimedia S.A.,1289820,6035,26
AS137951 Clayer Limited,351000,1608676,26
AS28205 Ibituruna TV por assinatura S/C Ltda,125520,-1,26
AS36947 Telecom Algeria,24240,1337,26
AS34665 Petersburg Internet Network ltd.,843060,6950,25
AS53340 FIBERHUB,2456460,4947,25
AS208161 Pars Shabakeh Azarakhsh LLC,15420,4191,25
AS18779 EGIHOSTING,1177020,2952088,24
AS18881 TELEFONICA BRASIL S.A,746220,4366,24
AS202242 Aruba S.p.A.,215580,5266,24
AS33363 BHN-33363,11592360,12215,24
AS139884 Apeiron Global Pvt. Ltd.,86880,476,24
AS36114 VERSAWEB-ASN,221400,135931,24
AS51559 Netinternet Bilisim Teknolojileri AS,2055600,91495,24
AS56876 Ociris GmbH,372360,391,24
"AS17552 True Internet Co.,Ltd.",1607880,483,23
AS14618 AMAZON-AES,851160,10832406,23
AS4808 China Unicom Beijing Province Network,3327060,126976,23
AS197922 Techcrea Solutions SARL,387480,2520,23
AS4812 China Telecom (Group),6096780,134910,23
AS49335 LLC Server v arendy,418800,9819,23
AS134512 HostPalace Web Solution PVT LTD,1734660,1659,22
AS54825 PACKET,4711200,3696,22
AS9050 Telekom Romania Communication S.A,9173460,6313,22
AS52048 DataClub S.A.,1336680,439,22
AS49453 Global Layer B.V.,1585860,3969,22
AS397031 GALAXYGATE,13020,133,22
AS43754 Asiatech Data Transmission company,2854740,60524,21
AS36903 MT-MPLS,19380,157,21
AS18002 AS Number for Interdomain Routing,772980,76,21
AS20278 NEXEON,1890540,15487,21
AS262750 Byal Telecom Ltda,21720,1,21
AS12271 TWC-12271-NYC,7540860,3404,21
AS16125 UAB Cherry Servers,271140,51058,21
AS4760 HKT Limited,1994580,10946,21
AS136674 Dmp Internet Services Private Limited,82980,-1,21
AS52578 Pw Access Telecomunicacoes Ltda,18480,1,21
AS7545 TPG Telecom Limited,1016280,9077,20
AS40021 CONTABO,92940,17525,20
AS12430 Vodafone Spain,998340,23879,20
AS63018 DEDICATED,847020,2539,20
AS1680 Cellcom Fixed Line Communication L.P.,4378260,25624,19
AS15626 ITL LLC,346500,8705,19
AS44094 Webhost LLC,2512380,39686,19
AS11427 TWC-11427-TEXAS,2504340,20655,19
AS9121 Turk Telekom,2046600,55164,19
AS1221 Telstra Corporation Ltd,3857100,16181,19
"AS136258 BrainStorm Network, Inc",1444740,501,19
AS18182 Sony Network Taiwan Limited,2638740,8670,19
AS12695 LLC Digital Network,701580,12709,19
AS18809 Cable Onda,1939020,292,19
"AS45102 Alibaba (US) Technology Co., Ltd.",1358640,6343574,18
AS3215 Orange,5733060,108130,18
AS63916 IPTELECOM Global,-1,3582,18
AS44636 OOO Patent-Media,415980,220,18
AS54600 PEGTECHINC,5278140,1635532,18
AS205388 Metaliance ISP Systems e.k,617280,183,18
AS5483 Magyar Telekom plc.,1956180,69445,18
AS134911 Sigaram Networks Pvt Ltd,405720,-1,18
AS132768 Five network Broadband Solution Pvt Ltd,668880,57,18
AS12849 Hot-Net internet services Ltd.,8401260,380,17
AS136917 IFRA NETWORK,66000,-1,17
AS12978 Demiroren Tv Digital Platform Isletmeciligi A.s.,405480,3842,17
AS134869 DHL BROADBAND NET P LIMITED,26820,7,17
AS11830 Instituto Costarricense de Electricidad y Telecom.,3818640,1264,17
AS207319 IP Ivanov Dmitry Alekseevich,223080,2094,17
AS29182 JSC The First,522060,199876,17
AS577 BACOM,229500,28081,17
AS396362 LEASEWEB-USA-NYC-11,70020,8345,16
AS266186 Eleandro Luiz Sampaio,2520,-1,16
AS12083 WOW-INTERNET,4130220,5065,16
AS59447 Istanbuldc Veri Merkezi Ltd Sti,602760,21623,16
AS16135 Turkcell Iletisim Hizmetleri A.s.,1494240,273,16
"AS9919 New Century InfoComm Tech Co., Ltd.",8799540,28628,16
AS32489 AMANAHA-NEW,8910180,2035,16
AS140313 CHINATELECOM Guangdong province Zhaoqing 5G network,-1,1,15
AS46844 ST-BGP,2032020,553284,15
AS207408 servinga GmbH,11880,72,15
AS48347 JSC Mediasoft ekspert,2386140,45665,15
AS28753 Leaseweb Deutschland GmbH,2935200,53656,15
"AS263767 CORPORACION GALA IT, C.A.",786780,221,15
AS135259 SKYLINE INFONET PRIVATE LIMITED,34320,-1,15
AS135783 Comex Computer Pvt Ltd,240060,1,15
AS5410 Bouygues Telecom SA,1657380,4904,15
AS26599 TELEFONICA BRASIL S.A,548280,829,15
AS21100 ITL LLC,245100,34556,15
AS44375 Asmanfaraz Sepahan Isdp (pjs),2141940,170,15
AS49106 Opticom Group AO,520980,14,15
AS6428 CDM,59100,9363,15
AS136357 Siddiqui Global Services Pvt. Ltd.,14940,-1,15
AS208440 GmhostGrupp OU,21660,29,15
AS9443 Vocus Retail,803700,9518,14
AS35773 iConnect Ltd.,635040,17,14
AS49367 Seflow S.N.C. Di Marco Brame' & C.,582720,13693,14
AS6405 AIN,16140,1119,14
AS2856 British Telecommunications PLC,2793900,50870,14
AS27775 Telecommunicationcompany Suriname - TeleSur,11420220,128,14
AS8926 Moldtelecom SA,11915640,656,14
AS37457 Telkom-Internet,280620,4032,14
AS41732 Mihaila N Valentin-eugen Pfa,2241120,139,14
AS133159 Mammoth Media Pty Ltd,116640,21152,14
AS56309 408 Fl4 CATTOWER,1932780,9630,14
AS140310 CHINATELECOM Guangdong province Dongguan 5G network,-1,4,14
AS4713 NTT Communications Corporation,1185600,101590,14
AS41164 Telia Norge AS,253980,1281,14
AS56268 Northeast Dataa Network Pvt Ltd,35940,26,14
AS140061 Qinghai Telecom,-1,294,13
AS40824 WZCOM,439080,30767,13
AS139956 CV. NATANETWORK SOLUTION,3663900,422,13
AS136704 Apex Broadband Network Pvt. Ltd.,1980,1,13
AS48693 Rices Privately owned enterprise,645840,138,13
AS137409 GSL Networks Pty LTD,623220,1095,13
"AS136190 JINHUA, ZHEJIANG Province, P.R.China.",26710920,7913,13
AS197071 active 1 GmbH,829560,11593,13
AS271164 NORLEI FERNANDO BUHLER - ME,124920,-1,13
AS27357 RACKSPACE,1851780,139588,13
AS10297 ENET-2,1575480,14328,13
AS19148 LEASEWEB-USA-PHX-11,58620,113743,13
AS4780 Digital United Inc.,10749180,6546,13
AS3320 Deutsche Telekom AG,804360,405459,13
AS42331 PE Freehost,5699760,24427,13
AS40065 CNSERVERS,1150800,1201726,13
AS7795 LUMOS,101160,1666,13
AS55453 SKY TELECOM,46500,-1,13
AS199883 ArubaCloud Limited,360480,2498,13
AS6830 Liberty Global B.V.,4112580,172865,13
AS52284 Panamaserver.com,2267640,40971,13
AS204548 Kamatera Inc,670320,562,13
AS22368 TELEBUCARAMANGA S.A. E.S.P.,1887000,86,13
AS202468 Noyan Abr Arvan Co. ( Private Joint Stock),372240,16178,13
AS60781 LeaseWeb Netherlands B.V.,363060,513927,13
AS199653 Aruba SAS,645480,1850,13
AS59253 Leaseweb Asia Pacific pte. ltd.,1309740,59516,13
AS205840 Dataline Ltd,258300,1517,13
AS12179 INTERNAP-2BLK,34680,3997,12
AS204324 adnet internet ve iletisim hizmetleri tic ltd sti,1462020,-1,12
"AS8048 CANTV Servicios, Venezuela",1822860,2626,12
"AS34700 Maxnet Telecom, Ltd",1860900,523,12
AS6713 Itissalat Al-MAGHRIB,2820,1744,12
AS58898 Rainbow communications India Pvt Ltd,351000,37,12
AS34549 meerfarbig GmbH & Co. KG,340500,20682,12
AS12874 Fastweb,4689180,29442,12
AS265317 TRIXNET SERVICOS DE TELEINFORMATICA LTDA,17940,"ASN
AS265317    1
AS265317    1
Name: domains, dtype: int64",12
AS262522 CITYDATA TELECOMUNICACOES LTDA.,247200,22,12
AS29602 InfraCom Managed Services AB,1504140,-1,12
AS213251 Metaliance ISP Systems e.k,85980,45,12
AS207656 Epinatura LLC,102420,6,12
AS270353 Tyna Host - Datacenter no Brasil,39300,86,12
AS28840 Ojsc oao Tattelecom,38580,385,12
AS9116 Partner Communications Ltd.,3193740,31613,12
AS27715 Locaweb Servicos de Internet S/A,1362840,468072,12
AS14745 INTERNAP-BLOCK-4,12720,2823,12
AS28202 Rede Brasileira de Comunicacao Ltda,98820,38,12
AS1267 Wind Tre S.p.A.,5284560,17082,11
"AS45588 Bangladesh Telecommunications Company Limited (BTCL), Nationwide",14160,12,11
AS20928 Noor Data Networks ASN,890880,519,11
AS36007 KAMATERA,102780,1086,11
AS17623 China Unicom Shenzen network,1915620,3605,11
AS134331 Smartlink Solutions Pvt. Ltd.,112560,4,11
AS62292 EZIT Kft.,532320,51931,11
AS270486 NETWORKS INFORMATICA,12900,-1,11
AS204641 HOSTGW SRL,196260,744,11
AS20454 SSASN2,777120,128218,11
AS50979 ITL LLC,168360,2190,11
"AS24806 INTERNET CZ, a.s.",827580,230016,11
AS134877 Sri Vari Network Private Limited,14820,11,11
AS40244 TURNKEY-INTERNET,1218480,40477,11
AS44679 INVITE Systems SRL,9900,1605,11
AS48254 20i Limited,21840,315888,11
AS5650 FRONTIER-FRTR,5849040,24339,11
AS28260 ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,1271520,13,11
AS7303 Telecom Argentina S.A.,3723120,32005,11
AS37705 TOPNET,958020,3802,11
AS56694 LLC Smart Ape,523980,16629,11
AS201094 Mulgin Alexander Sergeevich,63000,2149,11
"AS4788 TM Net, Internet Service Provider",937500,8828,11
AS47869 Netrouting,333180,12878,11
AS30036 MEDIACOM-ENTERPRISE-BUSINESS,1960200,2941,11
AS61918 RALUEL COMERCIO LTDA ME,20580,8,11
AS265390 Topnet Telecom Servicos LTDA ME,10080,3,10
AS265448 NETWORK INFORMATICA LTDA. - ME,6180,-1,10
AS22773 ASN-CXA-ALL-CCI-22773-RDC,2178540,57411,10
AS134270 Planet Wi Fi Private Limited,30900,-1,10
AS271084 TRYMNET INFORMATICA LTDA,4920,-1,10
AS59210 PhoenixNAP,1442400,5111,10
AS2 UDEL-DCN,2494020,54,10
AS13768 COGECO-PEER1,377220,562128,10
AS24086 Viettel Corporation,523440,2184,10
AS262333 ZUKNET Networks Ltda ME,70080,9,10
AS25472 Wind Hellas Telecommunications SA,381960,462,10
AS201295 Shabakeh Ertebatat Artak Towseeh LTD,7680,1164,10
AS133648 MNR Broadband Services Pvt. Ltd.,13260,11,10
AS13285 TalkTalk,713460,2393,10
AS270310 ELETRONIC SPORT S BRASILIA LTD ME,2040,-1,10
AS263424 Fonelight Telecomunicacoes S/A,48420,42,10
AS9371 SAKURA Internet Inc.,1733520,1173569,10
AS4662 GCNet (Reach & Range Inc.),6092760,75,10
AS52928 JANAJA SERVICOS LTDA,51120,-1,10
AS268786 L H FERREIRA ZOBY ME,8940,-1,9
AS55990 Huawei Cloud Service data center,5393700,32529,9
AS58969 Kerala Communicators Cable Limited,214260,21,9
AS58073 YISP B.V.,4260,1025,9
AS212786 Pooky L&W SDN BHD,-1,36,9
AS268164 ADRIANO CIRILO PASQUAL DONEDA EIRELI,11520,-1,9
AS268171 Meganet Tecnologia LTDA,192600,-1,9
AS268307 GILBERTO MORALES INFORMATICA-ME,17760,-1,9
AS45117 Ishan's Network,495660,244,9
AS3301 Telia Company AB,1376400,38708,9
AS45011 A3 Sverige AB,3464520,5152,9
AS28890 INSYS LLC,124380,3466,9
AS18013 ASLINE LIMITED,162540,259475,9
"AS197695 Domain names registrar REG.RU, Ltd",792420,1499211,9
AS3255 State Enterprise Scientific and Telecommunication Centre Ukrainian Academic and Research Netw,855060,1077,9
AS34984 Tellcom Iletisim Hizmetleri A.s.,2842620,17390,9
"AS9924 Taiwan Fixed Network, Telco and Network Service Provider.",6322740,21480,9
AS16735 ALGAR TELECOM S/A,849180,10703,9
AS262767 Avelino e Rodrigues LTDA,8580,-1,8
AS137145 Light Wave Digital Network Private Limited,33060,1,8
AS29119 ServiHosting Networks S.L.,3452880,13225,8
AS19531 NODESDIRECT,2153580,3822,8
AS3329 Vodafone-panafon Hellenic Telecommunications Company SA,1246500,885,8
AS5089 Virgin Media Limited,2248920,30146,8
AS135225 SMART NET INDIA PVT LTD,115620,7,8
AS58061 Scalaxy B.V.,137940,44354,8
AS7684 SAKURA Internet Inc.,1087740,196140,8
AS136652 Bytel Tranet Private Limited,70500,2,8
AS269677 Gerson Cerqueira,54480,-1,8
AS56042 China Mobile communications corporation,978240,2287,8
AS9500 Vodafone NZ Ltd.,76020,1206,8
AS27865 Tecnologia WorkOut S.A.,138780,70,8
AS208951 It-grad Nl B.v.,7740,1409,8
AS8386 Vodafone Net Iletisim Hizmetleri Anonim Sirketi,1519620,360,8
AS8717 A1 Bulgaria EAD,5105160,3862,8
"AS265790 COOP. DE PROV. DE SERV. ELECTRICOS Y OTROS SERV. PUB. DE SERV. SOCIALES, CRED. Y VIVIENDA L",293940,4,8
AS36351 SOFTLAYER,799440,1196214,8
AS209 CENTURYLINK-US-LEGACY-QWEST,3887820,69905,8
AS3786 LG DACOM Corporation,4872420,353745,8
AS11572 SS-ATL,13920,1621,7
AS5607 Sky UK Limited,1659960,4027,7
AS5617 Orange Polska Spolka Akcyjna,3142080,11245,7
AS31724 Svyazist LLC,702480,14,7
AS206728 Media Land LLC,1550340,87,7
"AS135161 GMO-Z com NetDesign Holdings Co., Ltd.",1278480,20390,7
AS6939 HURRICANE,3581100,243855,7
AS28812 PJSC Bashinformsvyaz,572100,267,7
AS39651 Tele2 SWIPnet,1636380,2700,7
AS2116 Globalconnect As,4264440,61551,7
AS17799 asn for Liaoning Provincial Net of CT,3420,20,7
AS12400 Partner Communications Ltd.,2565540,13095,7
"AS58593 Shanghai Blue Cloud Technology Co.,Ltd",150300,4612,7
AS210079 EuroByte LLC,1265040,23722,7
AS38197 Sun Network (Hong Kong) Limited - HongKong Backbone,1902000,162413,7
AS135777 Shreenortheast Connect And Services Pvt Ltd,11700,10,7
AS135834 Multicraft Digital Technologies Private Limited,54900,6,7
AS17839 LG HelloVision Corp.,6682680,40,7
AS40788 START,37500,1692,7
AS14576 HOSTING-SOLUTIONS,92220,10731,7
AS267641 DK Telecom,51120,3,7
AS134325 JETSPOTNETWORKS PVT LTD,326220,114,7
AS132535 ANTARIKSH BROADBAND AND WIRELESS SOLUTION PRIVATE LIMITED,114240,3,7
AS25054 ACO Computerservice GmbH,20640,31,7
AS266284 ADAO DA SILVA NORTE-TEL TELECOMUNICACOES EIRELI,21360,4,7
AS10318 Telecom Argentina S.A.,2705460,2806,7
AS10697 Interlink S.R.L.,280260,5,7
AS263509 Turbovip Telecom Ltda,52200,3,7
AS42555 OPTICCOM- BULGARIA Ltd.,8880,163,7
AS25229 Volia,2295960,10502,7
AS15704 Xtra Telecom S.A.,2468280,3074,7
AS42961 Mobile Telecommunications Company,7373580,112,7
AS14080 Telmex Colombia S.A.,8434740,2884,7
AS45916 Gujarat Telelink Pvt Ltd,693660,254,7
AS268072 FRANCISCO NICOLAS FUENTES ESPINOSA TELECOMUNICACOE,1740,-1,7
AS852 ASN852,1321380,17483,6
AS15975 Hadara,589620,810,6
AS266531 GIGALINK INFORMATICA E INTERNET LTDA ME,3240,2,6
AS45769 D-Vois Broadband Pvt Ltd,1606440,142,6
AS19182 TELEFONICA BRASIL S.A,329280,57,6
AS26484 IKGUL-26484,1069140,1602633,6
AS18229 CtrlS Datacenters Ltd.,3469680,25460,6
AS22047 VTR BANDA ANCHA S.A.,1594980,691,6
AS134269 Net Solutions,26520,-1,6
AS53131 GB TECNOLOGIA E MONITORAMENTO EIRELI,1725240,17,6
AS45184 Den Digital Entertainment Pvt. Ltd. AS ISP india,40140,-1,6
AS266229 lins. net telecom ltda-me,4260,3,6
AS52469 Offshore Racks S.A,6654900,1575,6
AS24164 UNION BROADBAND NETWORK,14168460,146,6
AS19108 SUDDENLINK-COMMUNICATIONS,4577100,10097,6
AS135817 Esto Broadband Private Limited,337080,16,6
AS8167 Brasil Telecom S/A - Filial Distrito Federal,3386400,2773,6
AS24955 OJSC Ufanet,10716120,855,6
AS60695 NETRONIK sp. z o.o.,-1,23,6
AS29066 Host Europe GmbH,1730100,117335,6
AS12479 Orange Espagne SA,2067120,7908,6
AS41661 JSC ER-Telecom Holding,2793660,342,6
AS4764 Aussie Broadband,2048100,4033,6
AS52363 Jumpnet Soluciones de Internet S.R.L.,106440,-1,6
AS9299 Philippine Long Distance Telephone Company,143580,1860,6
AS11776 ATLANTICBB-JOHNSTOWN,3344700,899,6
AS210125 PRIAM NET Sh.p.k.,81420,2,6
AS18207 YOU Broadband & Cable India Ltd.,4572780,481,6
"AS131207 SINET, Cambodia's specialist Internet and Telecom Service Provider.",15678960,113,6
AS267939 W M S FONTES INFORMATICA - LTDA,166860,-1,6
AS42244 Hosting Operator eServer.ru Ltd.,127320,3915,6
AS55947 Bangalore Broadband Network Pvt Ltd,317040,31,6
